,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,eb_accuracy,eb_precision,eb_recall,eb_f1,eb_roc_auc,eb_pr_auc
LogisticRegression,0.7699204895618292,0.40894961291322607,0.6996146256353732,0.5160259580976143,0.8232491308742474,0.4773551219561164,0.007146628146193649,0.010171486478067466,0.02054146769673279,0.010522395257938225,0.008509873448753986,0.011541937200073913,0.7597953726310894,0.3884,0.6438992042440318,0.4845309381237525,0.8228982061366588,0.47261598582109976
kNN,0.7247761563097409,0.3629310374543703,0.7515497109545187,0.48918794742965205,0.7896209220374864,0.3966695597681042,0.010638790501471875,0.008734174687401066,0.025442297321414363,0.005850042219309476,0.011383642159918498,0.014765384765407143,0.7421230089524474,0.358,0.593501326259947,0.4466067864271457,0.7894072442625655,0.39558838360272797
DecisionTree,0.746037965969798,0.3852343819798193,0.7395223472910243,0.5049660948256645,0.8064278253004208,0.4633761154257193,0.01753989208350102,0.017179138184847894,0.05865850228086733,0.011856498594491753,0.012812059698267876,0.022781109411134405,0.7530519707010813,0.3768,0.6246684350132626,0.47005988023952094,0.8064952987235521,0.47202270471885255
RandomForest,0.8001414171737518,0.4389107940597238,0.5028106412797733,0.46827736592657104,0.8088524272395967,0.46615480816412624,0.003671741426387223,0.005439750283112123,0.031499310654065533,0.014780998279033345,0.00846077823807611,0.008478265214101355,0.7470061620741775,0.3664,0.6074270557029178,0.45708582834331335,0.8086037958745144,0.4636401469910427
AdaBoost,0.7234925521656576,0.3726605105467942,0.8416475882377543,0.5163871553152904,0.8353568055070847,0.5471636689555199,0.010638116798140154,0.01056456079837766,0.019406192053781378,0.009281578206987525,0.009401413909433684,0.022216460353168866,0.7607254970352285,0.39,0.646551724137931,0.4865269461077844,0.8347591453598104,0.5477552190773689
Baseline_TopK_Similarity,0.69050110452273,0.2692,0.4462864721485411,0.33582834331337325,0.6337856541043753,0.37941421961405863,,,,,,,,,,,,
